id,city,name_bn,name_en,area_bn,area_en,zone,lat,lng,type,heritage,theme,grand,quiet,food,family,crowd,since,theme_2026_bn,theme_2026_en,note_bn,note_en,verified
bagbazar,kolkata,বাগবাজার সার্বজনীন,Bagbazar Sarbojanin,বাগবাজার,Bagbazar,north,22.6018,88.3655,sabeki,1,0.1,0.6,0.3,0.9,0.7,4,1919,,,গঙ্গার ধারে শতবর্ষ পেরোনো সাবেকি পুজো; ডাকের সাজ আর মেলা।,Century-old riverside puja known for its traditional daker saaj idol and fair.,no
kumartuli-park,kolkata,কুমারটুলি পার্ক সার্বজনীন,Kumartuli Park Sarbojanin,কুমারটুলি,Kumartuli,north,22.5958,88.3606,theme,0.6,0.9,0.6,0.3,0.5,0.6,3,,,,প্রতিমাশিল্পীদের পাড়ার থিম পুজো।,Theme puja in the idol-makers' quarter.,no
kumartuli-sarbojanin,kolkata,কুমারটুলি সার্বজনীন,Kumartuli Sarbojanin,কুমারটুলি,Kumartuli,north,22.5970,88.3617,sabeki,0.8,0.3,0.5,0.4,0.4,0.6,3,,,,কুমোরপাড়ার চিরাচরিত পুজো; আশেপাশে স্টুডিও ঘুরে দেখা যায়।,Traditional puja amid the Kumartuli studios.,no
ahiritola,kolkata,আহিরীটোলা সার্বজনীন,Ahiritola Sarbojanin,আহিরীটোলা,Ahiritola,north,22.5936,88.3592,theme,0.6,0.8,0.5,0.5,0.3,0.6,3,,,,উত্তর কলকাতার পুরনো পাড়ার থিম পুজো।,Theme puja in an old North Kolkata neighbourhood.,no
sovabazar-rajbari,kolkata,শোভাবাজার রাজবাড়ি,Sovabazar Rajbari,শোভাবাজার,Sovabazar,north,22.5930,88.3663,bonedi,1,0,0.3,0.9,0.1,0.7,2,1757,,,ঠাকুরদালানে বনেদি বাড়ির পুজো।,Aristocratic family puja in a historic thakurdalan.,no
jagat-mukherjee-park,kolkata,জগৎ মুখার্জী পার্ক,Jagat Mukherjee Park,শ্যামবাজার,Shyambazar,north,22.5990,88.3725,theme,0.4,0.8,0.6,0.4,0.5,0.6,3,,,,শ্যামবাজারের কাছে থিম পুজো।,Theme puja near Shyambazar.,no
tala-prattoy,kolkata,টালা প্রত্যয়,Tala Prattoy,টালা,Tala,north,22.6095,88.3795,theme,0.3,1,0.8,0.3,0.5,0.5,4,,,,বড় মাপের শিল্পভাবনার থিম পুজো।,Large-scale art-installation theme puja.,no
tala-barowari,kolkata,টালা বারোয়ারি,Tala Barowari,টালা,Tala,north,22.6100,88.3770,theme,0.7,0.8,0.6,0.4,0.4,0.6,3,,,,টালার পুরনো বারোয়ারি পুজো।,Long-running barowari puja in Tala.,no
hatibagan-sarbojanin,kolkata,হাতিবাগান সার্বজনীন,Hatibagan Sarbojanin,হাতিবাগান,Hatibagan,north,22.5945,88.3723,theme,0.5,0.8,0.6,0.4,0.7,0.6,3,,,,হাতিবাগান বাজারের কাছে থিম পুজো।,Theme puja by the Hatibagan market.,no
nalin-sarkar-street,kolkata,নলিন সরকার স্ট্রিট,Nalin Sarkar Street,হাতিবাগান,Hatibagan,north,22.5928,88.3710,theme,0.4,0.8,0.5,0.5,0.6,0.6,3,,,,গলির ভিতরে থিম পুজো।,Theme puja tucked into a lane.,no
